"[[0.+0.j 0.+0.j]
 [0.+0.j 1.+0.j]]","[[0. 0.]
 [0. 0.]]",0.0,0
"[[2.50042214e-05+0.j         0.00000000e+00-0.00500036j]
 [0.00000000e+00+0.00500036j 9.99974996e-01+0.j        ]]","[[3.38813179e-22 3.46944695e-19]
 [3.46944695e-19 8.88178420e-17]]",0.0,0.01
"[[9.98477639e-05+0.j         0.00000000e+00-0.00999189j]
 [0.00000000e+00+0.00999189j 9.99900152e-01+0.j        ]]","[[2.71050543e-21 1.73472348e-18]
 [1.73472348e-18 2.22044605e-16]]",0.0,0.02
"[[2.24274022e-04+0.j        0.00000000e+00-0.0149741j]
 [0.00000000e+00+0.0149741j 9.99775726e-01+0.j       ]]","[[2.98155597e-20 8.67361738e-19]
 [8.67361738e-19 2.44249065e-16]]",0.0,0.03
"[[3.98022591e-04+0.j         0.00000000e+00-0.01994653j]
 [0.00000000e+00+0.01994653j 9.99601977e-01+0.j        ]]","[[6.50521303e-20 4.51028104e-18]
 [4.51028104e-18 5.55111512e-17]]",0.0,0.04
"[[6.20829380e-04+0.j         0.00000000e+00-0.02490871j]
 [0.00000000e+00+0.02490871j 9.99379171e-01+0.j        ]]","[[2.16840434e-20 2.42861287e-18]
 [2.42861287e-18 1.55431223e-16]]",0.0,0.05
"[[8.92426738e-04+0.j         0.00000000e+00-0.02986018j]
 [0.00000000e+00+0.02986018j 9.99107573e-01+0.j        ]]","[[0.00000000e+00 5.55111512e-18]
 [5.55111512e-18 2.22044605e-16]]",0.0,0.060000000000000005
"[[0.00121254+0.j         0.        -0.03480048j]
 [0.        +0.03480048j 0.99878746+0.j        ]]","[[2.38524478e-19 5.55111512e-18]
 [5.55111512e-18 2.22044605e-16]]",0.0,0.07
"[[0.00158091+0.j         0.        -0.03972916j]
 [0.        +0.03972916j 0.99841909+0.j        ]]","[[4.11996826e-19 9.71445147e-18]
 [9.71445147e-18 1.66533454e-16]]",0.0,0.08
"[[0.00199723+0.j         0.        -0.04464578j]
 [0.        +0.04464578j 0.99800277+0.j        ]]","[[2.60208521e-19 2.77555756e-18]
 [2.77555756e-18 1.55431223e-16]]",0.0,0.09
